Date,Close,High,Low,Open,Volume
2010-09-14,0.24159935116767883,0.24480843665726562,0.23953634421695655,0.24182855594532404,698536000
2010-09-15,0.24205775558948517,0.24228698766171067,0.2360979949647778,0.23930710734935698,555572000
2010-09-16,0.24228699505329132,0.244349974464995,0.23884867781690758,0.23884867781690758,365280000
2010-09-17,0.24182862043380737,0.24480850194039452,0.24114097859217892,0.2445792971016272,416884000
2010-09-20,0.24549606442451477,0.24641296535711485,0.23953630400121556,0.24182851534474378,443168000
2010-09-21,0.2587909996509552,0.26291698719197854,0.2441208520887897,0.2441208520887897,1779624000
2010-09-22,0.26108318567276,0.2633753974668749,0.2562695299749907,0.25787407276580715,999996000
2010-09-23,0.2663551867008209,0.2746071580995954,0.2617707642182381,0.2640629754595295,1240872000
2010-09-24,0.28102540969848633,0.2819423107685242,0.2702520202341023,0.27231499982237967,1086976000
2010-09-27,0.2750656008720398,0.28331754430542083,0.2713980522403296,0.2830883395942585,999504000
2010-09-28,0.2743780016899109,0.2782747560212804,0.2695643463053662,0.27529487541776787,723192000
2010-09-29,0.27231499552726746,0.28033776363095436,0.26933511491595263,0.27185655866213865,974904000
2010-09-30,0.2677304744720459,0.27896232385599906,0.26543826365801154,0.275753212321166,787632000
2010-10-01,0.2601662874221802,0.2720858107429681,0.2581033077149086,0.2716273465188453,999120000
2010-10-04,0.25764480233192444,0.2620000204881015,0.25237271052461324,0.25764480233192444,749500000
2010-10-05,0.25947868824005127,0.2636046760902661,0.25879101904412755,0.2631462390680928,753588000
2010-10-06,0.2471005916595459,0.26062465414743013,0.2445791757323665,0.25947854854635416,1057604000
2010-10-07,0.2452668994665146,0.24847598493782716,0.2379318001172532,0.2482467528361681,761488000
2010-10-08,0.24893443286418915,0.2509974398947252,0.24091169150451838,0.24435000923009156,706932000
2010-10-11,0.24778825044631958,0.25214346794914805,0.24664214489167713,0.2500804615556045,442680000
2010-10-12,0.2526019215583801,0.25374802718948547,0.24366228124057016,0.24572528777174799,605208000
2010-10-13,0.25993695855140686,0.2636045070272627,0.2539772264347788,0.2567278741290156,968732000
2010-10-14,0.25581106543540955,0.26062469328764404,0.25466493233689613,0.2601662564434289,599172000
2010-10-15,0.2587909996509552,0.26291698719197854,0.25581114556746815,0.2599371057831658,639940000
2010-10-18,0.26039546728134155,0.26154157296102193,0.25443570681687766,0.25902012953559916,448156000
2010-10-19,0.2587909996509552,0.2606247749275573,0.25260203200208303,0.2546650121099319,866136000
2010-10-20,0.2587909996509552,0.2658968686007912,0.25443580727868514,0.2590202318075276,763532000
2010-10-21,0.2542065382003784,0.25947863110787744,0.25030978338190407,0.2590201941866431,1014428000
2010-10-22,0.2704811692237854,0.2725441757119086,0.25306035306442837,0.25581102838192593,1322676000
2010-10-25,0.27300262451171875,0.27506563109068893,0.27002274433674917,0.272544187713719,673136000
2010-10-26,0.2720857262611389,0.2762117117198959,0.2675013040459227,0.2697935151535308,675248000
2010-10-27,0.27598246932029724,0.27689934279880185,0.26887660422329857,0.26956427299483243,496796000
2010-10-28,0.2762117385864258,0.28056692918437665,0.2736902951926767,0.27965005558227574,704448000
2010-10-29,0.2755241096019745,0.27850399022808653,0.27277346107222433,0.2757533143730179,554664000
2010-11-01,0.27598246932029724,0.2817129968742282,0.27369025829872484,0.277357806863365,473920000
2010-11-02,0.28171300888061523,0.28629743111914446,0.2755240443236632,0.277128586642086,581036000
2010-11-03,0.28377601504325867,0.2856097894021826,0.2762117128910173,0.2835467830014012,671748000
2010-11-04,0.28423449397087097,0.28950658578795624,0.283776057144454,0.28652670542827186,700016000
